date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23851.8911476,0.0,0,0,0.0,23.7288524,0.0,0.0,0,1000,0,23844.0,23844.0,23851.8911476,23844.0,23844.0,23894.0,-42.108852400000615,0.0
2020-01-03,5338.030977800001,0.0,1000,1000,0.0,5.3701698,0.0,0.0,1000,0,0,23851.8911476,23828.0309778,23558.0309778,24004.0,24004.0,23734.0,-175.96902219999902,0.0
2020-01-06,23196.891235799998,0.0,0,0,0.0,23.239742,0.0,0.0,0,1000,0,23348.0309778,23348.0309778,23196.891235799998,23524.0,23524.0,23414.0,-217.10876420000204,0.0
2020-01-07,5253.612477399998,0.0,1000,1000,0.0,5.3587584,0.0,0.0,1000,0,0,23196.891235799998,23173.612477399998,23113.612477399998,23434.0,23434.0,23374.0,-260.38752260000183,0.0
2020-01-08,22733.239947799997,0.0,0,0,0.0,22.8525296,0.0,0.0,0,1000,0,22873.612477399998,22873.612477399998,22733.239947799997,23134.0,23134.0,23034.0,-300.760052200003,0.0
2020-01-09,5060.236594800001,0.0,1000,1000,0.0,5.353353,0.0,0.0,1000,0,0,22733.239947799997,22710.2365948,23360.2365948,23164.0,23164.0,23814.0,-453.7634051999994,0.0
2020-01-10,23048.8343854,0.0,0,0,0.0,23.372209400000003,0.0,0.0,0,1000,0,23470.2365948,23470.2365948,23048.8343854,23924.0,23924.0,23544.0,-495.16561459999866,0.0
2020-01-13,5005.453625000006,0.0,1000,1000,0.0,5.3607604,0.0,0.0,1000,0,0,23048.8343854,23025.453625000006,23615.453625000006,23534.0,23534.0,24124.0,-508.54637499999444,0.0
2020-01-14,23353.324582800007,0.0,0,0,0.0,23.739042200000004,0.0,0.0,0,1000,0,23655.453625000006,23655.453625000006,23353.324582800007,24164.0,24164.0,23904.0,-550.6754171999928,0.0
2020-01-15,4979.60721580001,0.0,1000,1000,0.0,5.367367,0.0,0.0,1000,0,0,23353.324582800007,23329.60721580001,23679.60721580001,23864.0,23864.0,24214.0,-534.3927841999903,0.0
2020-01-16,23347.43779400001,0.0,0,0,0.0,23.759421800000002,0.0,0.0,0,1000,0,23629.60721580001,23629.60721580001,23347.43779400001,24164.0,24164.0,23924.0,-576.5622059999914,0.0
2020-01-17,4913.659225800013,0.0,1000,1000,0.0,5.3685682,0.0,0.0,1000,0,0,23347.43779400001,23323.659225800013,23903.659225800013,23924.0,23924.0,24504.0,-600.3407741999872,0.0
2020-01-20,24209.612152600013,0.0,0,0,0.0,24.7070732,0.0,0.0,0,1000,0,23793.659225800013,23793.659225800013,24209.612152600013,24394.0,24394.0,24854.0,-644.3878473999866,0.0
2020-01-21,4985.027768600015,0.0,1000,1000,0.0,5.384384,0.0,0.0,1000,0,0,24209.612152600013,24185.027768600015,24075.027768600015,24714.0,24714.0,24604.0,-528.9722313999846,0.0
2020-01-22,25787.932035600017,0.0,0,0,0.0,26.245733,0.0,0.0,0,1000,0,23885.027768600015,23885.027768600015,25787.932035600017,24414.0,24414.0,26364.0,-576.0679643999829,0.0
2020-01-23,5262.02162560002,0.0,1000,1000,0.0,5.41041,0.0,0.0,1000,0,0,25787.932035600017,25762.02162560002,25262.02162560002,26014.0,26014.0,25514.0,-251.97837439997966,0.0
2020-02-03,5262.02162560002,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23262.02162560002,23262.02162560002,23262.02162560002,23514.0,23514.0,23514.0,-251.97837439997966,0.0
2020-02-04,23240.63960600002,0.0,0,0,0.0,23.3620196,0.0,0.0,0,1000,0,22362.02162560002,22362.02162560002,23240.63960600002,22614.0,22614.0,23534.0,-293.36039399998117,0.0
2020-02-05,5057.116042800022,0.0,1000,1000,0.0,5.3635632,0.0,0.0,1000,0,0,23240.63960600002,23217.116042800022,23747.116042800022,23674.0,23674.0,24204.0,-456.8839571999779,0.0
2020-02-06,23933.916941200023,0.0,0,0,0.0,24.279101600000004,0.0,0.0,0,1000,0,23597.116042800022,23597.116042800022,23933.916941200023,24054.0,24054.0,24434.0,-500.08305879997715,0.0
2020-02-07,4008.618543200024,0.0,1000,1000,0.0,5.398398,0.0,0.0,1000,0,0,23933.916941200023,23908.618543200024,23308.618543200024,25414.0,25414.0,24814.0,-1505.3814567999761,0.0
2020-02-10,22875.439631400022,0.0,0,0,0.0,24.2689118,0.0,0.0,0,1000,0,22908.618543200024,22908.618543200024,22875.439631400022,24414.0,24414.0,24424.0,-1548.5603685999777,0.0
2020-02-11,4041.2530552000244,0.0,1000,1000,0.0,5.3765762,0.0,0.0,1000,0,0,22875.439631400022,22851.253055200024,23271.253055200024,24324.0,24324.0,24744.0,-1472.7469447999756,0.0
2020-02-12,23147.589588200022,0.0,0,0,0.0,24.513467,0.0,0.0,0,1000,0,23121.253055200024,23121.253055200024,23147.589588200022,24594.0,24594.0,24664.0,-1516.4104117999777,0.0
2020-02-13,4013.0970060000254,0.0,1000,1000,0.0,5.3825822,0.0,0.0,1000,0,0,23147.589588200022,23123.097006000025,22433.097006000025,24624.0,24624.0,23934.0,-1500.9029939999746,0.0
2020-02-14,22321.048723000025,0.0,0,0,0.0,23.698283000000004,0.0,0.0,0,1000,0,22273.097006000025,22273.097006000025,22321.048723000025,23774.0,23774.0,23864.0,-1542.9512769999747,0.0
2020-02-17,3857.2395542000268,0.0,1000,1000,0.0,5.3691688,0.0,0.0,1000,0,0,22321.048723000025,22297.239554200027,23047.239554200027,23954.0,23954.0,24704.0,-1656.7604457999732,0.0
2020-02-18,22664.18178120003,0.0,0,0,0.0,24.207773000000003,0.0,0.0,0,1000,0,23057.239554200027,23057.239554200027,22664.18178120003,24714.0,24714.0,24364.0,-1699.81821879997,0.0
